file,ground_truth,removed_line
1057_missing_Subcircuit.net,Subcircuit,XU3 N005 +V -V NC_01 N004 LT1010
1057A_missing_Resistor.net,Resistor,R2 N004 N003 10K
1057S_missing_Resistor.net,Resistor,R3 N001 N006 10K
1058_missing_Resistor.net,Resistor,R4 N008 N005 7.5K
1058A_missing_Resistor.net,Resistor,R3 N003 N002 7.5K
1060_missing_Resistor.net,Resistor,R1 N004 P001 3.16K
1067-50_missing_Subcircuit.net,Subcircuit,XU1 +V N002 N002 N005 N007 N004 N006 N008 OUT N003 N003 0 N001 LTC1067-50 fclk=500k
1067_missing_Resistor.net,Resistor,R21 N006 N001 22.6K
1068-200_missing_VoltageSource.net,VoltageSource,V3 IN1 0 AC 1
1068-25_missing_Resistor.net,Resistor,R9 N006 N003 20K
1068-50_missing_Resistor.net,Resistor,R18 N016 N003 10.7K
1068_missing_Resistor.net,Resistor,R19 N010 0 7.5K
1070_missing_Capacitor.net,Capacitor,C3 N004 0 1µ
1070HV_missing_Diode.net,Diode,D1 N001 OUT MBRS340
1071_missing_Resistor.net,Resistor,R1 OUT N002 10.7K
1071HV_missing_Resistor.net,Resistor,R3 N003 N004 1K
1072_missing_Capacitor.net,Capacitor,C3 N004 0 1µ
1072HV_missing_VoltageSource.net,VoltageSource,V1 IN 0 5
1073-12_missing_Capacitor.net,Capacitor,C2 OUT 0 100µ Rser=0.02
1073-5_missing_Diode.net,Diode,D1 N001 OUT MBRS140
1073_missing_Resistor.net,Resistor,R2 N002 0 25K
1074_missing_Capacitor.net,Capacitor,C3 N006 0 .1µ
1074HV_missing_Resistor.net,Resistor,R3 OUT N003 2.8K
1076-5_missing_Capacitor.net,Capacitor,C1 N006 N005 .033µ
1076_missing_Resistor.net,Resistor,R4 0 N006 1.5K
1076HV_missing_Resistor.net,Resistor,R3 N003 0 2.21K
1077_missing_Resistor.net,Resistor,R3 N002 0 1Meg
1077A_missing_VoltageSource.net,VoltageSource,V1 +V 0 3
1078_missing_VoltageSource.net,VoltageSource,V1 +V 0 5
1078A_missing_Diode.net,Diode,D1 N003 N002 1N4148
1079_missing_Subcircuit.net,Subcircuit,XU4 IN+ N008 +V -V N007 LT1078
1079A_missing_Subcircuit.net,Subcircuit,XU1 N003 N001 +V -V N002 LT1078
1082_missing_Capacitor.net,Capacitor,C1 OUT 0 250µ Rser=.1
1083-12_missing_Capacitor.net,Capacitor,C1 OUT 0 10µ
1083-5_missing_VoltageSource.net,VoltageSource,V1 IN 0 PWL(0 0 1 10) Rser=0.1
1083_missing_Resistor.net,Resistor,Rload OUT 0 10
1084-12_missing_Resistor.net,Resistor,Rload OUT 0 20
1084-3.3_missing_Resistor.net,Resistor,Rload OUT 0 10
1084-5_missing_Capacitor.net,Capacitor,C1 OUT 0 10µ
1084_missing_Subcircuit.net,Subcircuit,XU1 N001 OUT IN LT1084
1085-12_missing_Subcircuit.net,Subcircuit,XU1 0 OUT IN LT1085-12
1085-3.3_missing_Resistor.net,Resistor,Rload OUT 0 10
1085-3.6_missing_Capacitor.net,Capacitor,C1 OUT 0 10µ
1085-5_missing_Capacitor.net,Capacitor,C1 OUT 0 10µ
1085_missing_Resistor.net,Resistor,Rload OUT 0 10
1086-12_missing_Resistor.net,Resistor,Rload OUT 0 10
1086-2.85_missing_Subcircuit.net,Subcircuit,XU1 0 OUT IN LT1086-2.85
1086-3.3_missing_Capacitor.net,Capacitor,C1 OUT 0 10µ
1086-3.6_missing_Subcircuit.net,Subcircuit,XU1 0 OUT IN LT1086-3.6
1086-5_missing_Subcircuit.net,Subcircuit,XU1 0 OUT IN LT1086-5
1086_missing_VoltageSource.net,VoltageSource,V1 IN 0 PWL(0 0 1 10) Rser=0.1
1086H_missing_Subcircuit.net,Subcircuit,XU1 IN N001 OUT LT1086H
1097_missing_VoltageSource.net,VoltageSource,V2 -V 0 -15
1100_missing_VoltageSource.net,VoltageSource,V1 +V 0 5
1100A_missing_VoltageSource.net,VoltageSource,V2 -V 0 -5
1100CS_missing_VoltageSource.net,VoltageSource,V3 IN 0 SINE(0 100m 10)
1101_missing_Subcircuit.net,Subcircuit,XU1 0 N001 IN -V +V 0 N002 OUT LT1101
1101A_missing_VoltageSource.net,VoltageSource,V3 IN 0 SINE(0 .1 1K)
1102_missing_VoltageSource.net,VoltageSource,V2 -V 0 -15
1102A_missing_VoltageSource.net,VoltageSource,V2 -V 0 -15
1103_missing_MOSFET.net,MOSFET,M§Q1 N002 N010 N007 N007 Si4410DY
1105_missing_Capacitor.net,Capacitor,C4 N003 0 1000p
1106_missing_Resistor.net,Resistor,R1 N010 0 1Meg
1107-12_missing_Inductor.net,Inductor,L1 IN N001 33µ Rser=0.02 Rpar=5000
1107-5_missing_Subcircuit.net,Subcircuit,XU1 IN IN N001 0 0 N002 N003 OUT LT1107 top=220K bot=73.5K
1107_missing_Resistor.net,Resistor,R2 N003 0 73.5K
1108-12_missing_Subcircuit.net,Subcircuit,XU1 IN IN N001 0 0 N002 N003 OUT LT1108 top=753K bot=87.4K
1108-5_missing_Capacitor.net,Capacitor,C2 OUT 0 100µ Rser=0.02
1108_missing_Resistor.net,Resistor,R2 N003 0 250K
1109-12_missing_Inductor.net,Inductor,L1 IN N001 33µ Rser=0.02 Rpar=5000
1109-5_missing_Resistor.net,Resistor,Rload OUT 0 50
1109_missing_Resistor.net,Resistor,Rload OUT 0 50
1109A-12_missing_Inductor.net,Inductor,L1 IN N001 33µ Rser=0.02 Rpar=5000
1109A-5_missing_Inductor.net,Inductor,L1 IN N001 33µ Rser=0.02 Rpar=5000
1109A_missing_Resistor.net,Resistor,R2 OUT N003 250K
111_missing_Resistor.net,Resistor,R2 N002 N004 100K
1110-12_missing_Capacitor.net,Capacitor,C2 OUT 0 15µ Rser=0.02
1110-5_missing_Subcircuit.net,Subcircuit,XU1 IN IN N001 0 0 MP_01 MP_02 OUT LT1110 top=300K bot=13.8K
1110_missing_Subcircuit.net,Subcircuit,XU1 IN IN N001 0 0 MP_01 MP_02 N002 LT1110 top=1K bot=1T
1111-12_missing_Capacitor.net,Capacitor,C2 OUT 0 33µ Rser=0.02
1111-5_missing_Diode.net,Diode,D1 N001 OUT MBRS140
1111_missing_Resistor.net,Resistor,R1 OUT N003 220K
1112_missing_VoltageSource.net,VoltageSource,V4 IN+ 0 SINE(0 1 10)
1113_missing_Capacitor.net,Capacitor,C3 N003 0 .33µ
1114_missing_VoltageSource.net,VoltageSource,V4 IN+ 0 SINE(0 1 10)
1115_missing_Capacitor.net,Capacitor,C2 N006 N005 3900p
1116_missing_Subcircuit.net,Subcircuit,XU1 +V N003 N001 0 0 0 N002 OUT LT1116
1117-2.85_missing_VoltageSource.net,VoltageSource,V1 N001 0 5
1117-3.3_missing_VoltageSource.net,VoltageSource,V1 N001 0 5
1117-5_missing_VoltageSource.net,VoltageSource,V1 N001 0 7
1117_missing_CurrentSource.net,CurrentSource,I1 N002 0 pulse(.1 .6 10u 1u 1u 50u 100u)
1118-2.5_missing_Subcircuit.net,Subcircuit,XU1 0 MP_01 N001 MP_02 N001 N002 LT1118-2.5
1118-2.85_missing_VoltageSource.net,VoltageSource,V1 N001 0 5
1118-5_missing_Subcircuit.net,Subcircuit,XU1 0 MP_01 N001 MP_02 N001 N002 LT1118-5
1118_missing_Capacitor.net,Capacitor,C1 N002 0 1µ
1121-3.3_missing_Capacitor.net,Capacitor,C1 OUT 0 1µ
1121-5_missing_Resistor.net,Resistor,Rload OUT 0 100
1121_missing_Capacitor.net,Capacitor,C1 OUT 0 1µ
1122_missing_Resistor.net,Resistor,R2 N002 IN 20K
1124_missing_Resistor.net,Resistor,R3 N002 IN 365
1125_missing_Subcircuit.net,Subcircuit,XU3 IN- N003 +V -V N001 LT1124
1126_missing_Resistor.net,Resistor,R2 N001 0 365
1127_missing_Resistor.net,Resistor,R3 N005 N006 6.2K
1128_missing_Capacitor.net,Capacitor,C1 OUT N002 .1µ
1129-3.3_missing_VoltageSource.net,VoltageSource,V1 IN 0 PWL(0 0 1 10)
1129-5_missing_Resistor.net,Resistor,R1 IN N001 10K
1129_missing_Resistor.net,Resistor,R3 N002 0 10K
1142_missing_Resistor.net,Resistor,Rload2 +5 0 10
1142HV-ADJ_missing_Resistor.net,Resistor,R1 N012 N011 1K
1142HV_missing_Resistor.net,Resistor,R1 N012 N011 1K
1142L-ADJ_missing_Capacitor.net,Capacitor,C7 N009 0 3300p
1143_missing_Resistor.net,Resistor,R5 N001 +3 50m
1143L-ADJ_missing_Diode.net,Diode,D2 0 N002 1N5818
1143L_missing_Capacitor.net,Capacitor,C5 +5 0 220µ Rser=.1 x2
1144_missing_VoltageSource.net,VoltageSource,V1 IN 0 15
1147-3.3_missing_MOSFET.net,MOSFET,M§Q1 N001 N003 IN IN FDC638P
1147-5_missing_Capacitor.net,Capacitor,C1 N006 0 470p
1147L-3.3_missing_Subcircuit.net,Subcircuit,XU1 IN N006 N005 OUT N002 0 0 N003 LTC1147-3.3
1147L_missing_Resistor.net,Resistor,R1 OUT N007 300K
1148-3.3_missing_Capacitor.net,Capacitor,C4 N003 OUT 1000p
1148-5_missing_Resistor.net,Resistor,Rload OUT 0 5
1148_missing_MOSFET.net,MOSFET,M§Q1 N002 N001 IN IN FDC638P
1148HV-3.3_missing_VoltageSource.net,VoltageSource,V1 IN 0 10
1148HV-5_missing_Capacitor.net,Capacitor,C4 N003 OUT 1000p
1148HV_missing_Capacitor.net,Capacitor,C2 N008 0 470p
1148L-3.3_missing_Capacitor.net,Capacitor,C4 N003 OUT 1000p
1148L_missing_Subcircuit.net,Subcircuit,XU1 N001 MP_01 IN N008 MP_02 N006 OUT N003 N007 N004 0 0 MP_03 N009 LTC1148
1149-3.3_missing_MOSFET.net,MOSFET,M§Q2 N006 N002 IN IN IRF7343P
1149-5_missing_Subcircuit.net,Subcircuit,XU1 N002 IN N003 N005 MP_01 N011 N010 OUT N007 N004 0 0 N012 0 N008 N001 LTC1149-5
1149_missing_Capacitor.net,Capacitor,C7 OUT 0 220µ Rser=.01
1150_missing_VoltageSource.net,VoltageSource,V1 +V 0 15
1151_missing_VoltageSource.net,VoltageSource,V1 +V 0 15
1152_missing_VoltageSource.net,VoltageSource,V3 IN 0 SINE(0 5 1K)
1153_missing_VoltageSource.net,VoltageSource,V2 N002 0 PWL(0 5 1 16)
1154_missing_VoltageSource.net,VoltageSource,V3 N005 0 5
1155_missing_Resistor.net,Resistor,R1 N001 N003 .03
1156_missing_Resistor.net,Resistor,Rload2 0 N007 10
1157_missing_MOSFET.net,MOSFET,M§Q2 N001 N006 N007 N007 Si4838DY
1158_missing_Resistor.net,Resistor,Rload OUT 0 5
1159-3.3_missing_MOSFET.net,MOSFET,M§Q1 N005 N012 0 0 FDS5690
1159-5_missing_Subcircuit.net,Subcircuit,XU1 N002 IN N003 N004 MP_01 N011 N010 OUT N006 N007 0 0 N012 OUT N008 N001 LTC1159-5
1159_missing_Capacitor.net,Capacitor,C2 N008 0 3300p
1160_missing_VoltageSource.net,VoltageSource,V3 N005 0 pulse(0 3.3 .5u 1n 1n 1u 2u)
1161_missing_VoltageSource.net,VoltageSource,V2 N007 0 PULSE(0 5 0 100n 100n 2.5m 5m)
1162_missing_Resistor.net,Resistor,R1 N001 N002 10K
1163_missing_VoltageSource.net,VoltageSource,V1 N001 0 3.3
1165_missing_VoltageSource.net,VoltageSource,V1 N001 0 3.3
1166_missing_Capacitor.net,Capacitor,C3 N008 OUT 1µ
1167_missing_VoltageSource.net,VoltageSource,V3 N003 0 SINE(0 10m 1K)
1168_missing_Subcircuit.net,Subcircuit,XU1 N002 0 N001 -V 0 N003 +V N004 LT1168
1169_missing_Resistor.net,Resistor,R1 OUT N001 1K
1170_missing_VoltageSource.net,VoltageSource,V1 IN 0 5
1170HV_missing_Diode.net,Diode,D1 N001 OUT MBRS360
1171_missing_Subcircuit.net,Subcircuit,XU1 N003 N002 0 N001 IN LT1171
1171HV_missing_VoltageSource.net,VoltageSource,V1 IN 0 5
1172_missing_Capacitor.net,Capacitor,C1 OUT 0 500µ Rser=0.05
1172HV_missing_Capacitor.net,Capacitor,C1 OUT 0 500µ Rser=0.05
1173-12_missing_Resistor.net,Resistor,Rload OUT 0 120
1173-5_missing_Diode.net,Diode,D1 N001 OUT MBRS140
1173_missing_Diode.net,Diode,D1 N001 OUT MBRS140
1174-3.3_missing_Inductor.net,Inductor,L1 N001 OUT 100µ Rser=0.02 Rpar=5000
1174-5_missing_Inductor.net,Inductor,L1 N001 OUT 100µ Rser=0.02 Rpar=5000
1174_missing_Capacitor.net,Capacitor,C2 OUT 0 100µ Rser=0.02
1174HV-3.3_missing_Diode.net,Diode,D1 0 N001 MBRS140
1174HV-5_missing_Inductor.net,Inductor,L1 N001 OUT 100µ Rser=0.02 Rpar=5000
1174HV_missing_Resistor.net,Resistor,Rload OUT 0 20
1175-5_missing_Capacitor.net,Capacitor,C1 0 OUT 1µ Rser=1
1175_missing_Resistor.net,Resistor,Rload 0 OUT 100
1176-5_missing_Capacitor.net,Capacitor,C1 OUT 0 470µ Rser=.1
1176_missing_Capacitor.net,Capacitor,C1 OUT 0 470µ Rser=.1
1178_missing_Resistor.net,Resistor,R1 N002 N001 5K
1178A_missing_Subcircuit.net,Subcircuit,XU1 N003 N001 +V 0 N002 LT1178
1179_missing_Resistor.net,Resistor,R2 N001 0 10K
1179A_missing_Subcircuit.net,Subcircuit,XU1 N003 N001 +V 0 N002 LT1178
117H_missing_Resistor.net,Resistor,R2 N001 N002 121
117K_missing_Resistor.net,Resistor,R2 N001 N002 121
1182_missing_Capacitor.net,Capacitor,C1 N006 N005 .068µ
1183_missing_Inductor.net,Inductor,L3 N008 N007 1µ
1184_missing_Resistor.net,Resistor,R3 N008 N013 89.6K
1184F_missing_Inductor.net,Inductor,L4 N001 N002 50m
1185_missing_Resistor.net,Resistor,R3 N002 OUT 2.67K
1186F_missing_Inductor.net,Inductor,L4 N001 N002 50m
1187_missing_Subcircuit.net,Subcircuit,XU1 N001 0 +V -V N002 0 N003 NC_01 LT1187
1189_missing_VoltageSource.net,VoltageSource,V1 +V 0 5
118A_missing_Subcircuit.net,Subcircuit,XU1 N003 N001 +V -V N002 LT118A
1190_missing_Resistor.net,Resistor,R4 OUT 0 75
1191_missing_VoltageSource.net,VoltageSource,V2 -V 0 -5
1192_missing_Subcircuit.net,Subcircuit,XU1 IN N001 +V -V N002 NC_01 LT1192
1193_missing_VoltageSource.net,VoltageSource,V1 +V 0 5
1194_missing_VoltageSource.net,VoltageSource,V2 -V 0 -5
1195_missing_Diode.net,Diode,D2 N002 OUT 5082-2800
1206_missing_Resistor.net,Resistor,R1 OUT N001 2K
1207_missing_Resistor.net,Resistor,R5 N002 N001 62
1208_missing_Resistor.net,Resistor,R6 N003 N002 1.1K
1209_missing_Resistor.net,Resistor,R4 OUT N003 1.1K
1210_missing_VoltageSource.net,VoltageSource,V1 +V 0 15
1211_missing_Subcircuit.net,Subcircuit,XU1 IN N001 +V 0 OUT LT1211
1212_missing_Subcircuit.net,Subcircuit,XU2 N001 N003 +V 0 N002 LT1211
1213_missing_Resistor.net,Resistor,R4 N003 N002 680
1214_missing_Subcircuit.net,Subcircuit,XU1 N004 N001 +V 0 OUT LT1213
1215_missing_Resistor.net,Resistor,R3 N001 N003 113
1216_missing_VoltageSource.net,VoltageSource,V1 +V 0 5
1217_missing_VoltageSource.net,VoltageSource,V1 +V 0 15
1218_missing_CurrentSource.net,CurrentSource,I1 N003 0 SINE(100m 100m 1K)
1219_missing_Capacitor.net,Capacitor,C1 OUT 0 .1µ
1220_missing_Resistor.net,Resistor,R1 N003 N001 1K
1221_missing_Resistor.net,Resistor,R2 0 N005 10K
1222_missing_VoltageSource.net,VoltageSource,V1 +V 0 15
1223_missing_Resistor.net,Resistor,R2 N001 0 {Rg}
1224_missing_Resistor.net,Resistor,R1 OUT N001 619
1225_missing_Resistor.net,Resistor,R6 N001 N003 1K
1226_missing_VoltageSource.net,VoltageSource,V1 +V 0 15
1227_missing_Capacitor.net,Capacitor,C1 N001 N002 100p
1228_missing_Resistor.net,Resistor,R3 N002 OUT 470
1229_missing_Resistor.net,Resistor,R7 N001 0 2K
1230_missing_Resistor.net,Resistor,R1 N003 N002 510
1232_missing_Resistor.net,Resistor,R2 IN N005 10K
1235_missing_Capacitor.net,Capacitor,C1 OUT 0 0.22µ
1236-10_missing_Subcircuit.net,Subcircuit,XU1 NC_01 0 OUT LT1236-10
1236-5_missing_Subcircuit.net,Subcircuit,XU1 IN 0 OUT LT1236-5
1241_missing_Diode.net,Diode,D1 N007 N006 BAT54
1242_missing_VoltageSource.net,VoltageSource,V1 IN 0 200
1243_missing_Resistor.net,Resistor,R1 N017 0 .67
1244_missing_MOSFET.net,MOSFET,M§Q1 N004 N013 N018 N018 IRF7303
1245_missing_Diode.net,Diode,D3 N001 N002 MBRS340
1246_missing_Resistor.net,Resistor,R2 N003 N007 6.2K
1247_missing_Subcircuit.net,Subcircuit,XU1 N006 N004 N005 N007 0 N002 IN N003 LT1247
1248_missing_Resistor.net,Resistor,Rload OUT 0 2K
1249_missing_Capacitor.net,Capacitor,C2 N011 N012 .047µ
1250_missing_VoltageSource.net,VoltageSource,V2 -V 0 -5
1251_missing_VoltageSource.net,VoltageSource,V4 IN1 0 SINE(0 1 1Meg)
1252_missing_Resistor.net,Resistor,R4 N003 0 10K
1253_missing_Resistor.net,Resistor,R4 OUT 0 75
1254_missing_VoltageSource.net,VoltageSource,V1 +V 0 5
1255_missing_MOSFET.net,MOSFET,M§Q2 N002 N004 N008 N008 Si9936DY
1256_missing_VoltageSource.net,VoltageSource,V3 CARRIER 0 SINE(0 1 1Meg)
1259_missing_Resistor.net,Resistor,R1 OUT N001 1.6K
1260_missing_VoltageSource.net,VoltageSource,V3 IN 0 SINE(0 1 1K)
1261_missing_Resistor.net,Resistor,R2 IN N004 3.3K
1261CS8-4.5_missing_Capacitor.net,Capacitor,C1 N002 N004 .1µ
1261CS8-4_missing_Subcircuit.net,Subcircuit,XU1 IN N002 N004 0 N005 OUT N003 N001 LTC1261CS8-4
1261CS8_missing_VoltageSource.net,VoltageSource,V1 IN 0 5
1261LCS8-4.5_missing_Subcircuit.net,Subcircuit,XU1 IN N002 N004 0 N005 OUT N003 N001 LTC1261LCS8-4.5
1261LCS8-4_missing_Subcircuit.net,Subcircuit,XU1 IN N002 N004 0 N005 OUT N003 N001 LTC1261LCS8-4
1261LCS8_missing_VoltageSource.net,VoltageSource,V1 IN 0 5
1262_missing_Capacitor.net,Capacitor,C3 OUT 0 4.7µ
1263_missing_VoltageSource.net,VoltageSource,V1 IN 0 5
1265-3.3_missing_Capacitor.net,Capacitor,C2 N005 0 3900p
1265-5_missing_Capacitor.net,Capacitor,C4 N002 OUT 1000p
1265_missing_Resistor.net,Resistor,R2 N006 N005 1K
1266-3.3_missing_Capacitor.net,Capacitor,C3 N007 0 3300p
1266-5_missing_Resistor.net,Resistor,Rload OUT 0 2
1266_missing_Inductor.net,Inductor,L1 N005 N006 5µ
1267-ADJ_missing_MOSFET.net,MOSFET,M§Q3 N010 N005 IN IN FDC638P
1267-ADJ5_missing_Diode.net,Diode,D1 0 N011 1N5818
1267_missing_Capacitor.net,Capacitor,C9 N001 N004 .15µ
1268_missing_Resistor.net,Resistor,R1 OUT N002 10.7K
1268B_missing_Inductor.net,Inductor,L1 IN N001 20µ Rpar=2K
1269_missing_Diode.net,Diode,D1 N001 OUT MBRS360
1270_missing_Resistor.net,Resistor,R1 OUT N002 8.7K
1270A_missing_Subcircuit.net,Subcircuit,XU1 N003 N002 0 N001 IN LT1270A
1271_missing_Resistor.net,Resistor,Rload OUT 0 10
1300_missing_VoltageSource.net,VoltageSource,V1 IN 0 2.5
1301_missing_Resistor.net,Resistor,Rload OUT 0 25
1302-5_missing_VoltageSource.net,VoltageSource,V1 IN 0 2.5
1302_missing_Subcircuit.net,Subcircuit,XU1 0 N005 N002 N003 N004 IN N001 0 LT1302 top=1K bot=1T
1303-5_missing_Capacitor.net,Capacitor,C2 OUT 0 100µ Rser=0.02
1303_missing_Resistor.net,Resistor,Rload OUT 0 25
1304-3.3_missing_Capacitor.net,Capacitor,C2 OUT 0 100µ Rser=0.02
1304-5_missing_Subcircuit.net,Subcircuit,XU1 N003 N004 IN N001 0 N002 IN OUT LT1304 top=590K bot=194.6K
1304_missing_Resistor.net,Resistor,R1 N003 0 195K
1305_missing_Diode.net,Diode,D1 N001 OUT MBRS340
1306_missing_Resistor.net,Resistor,Rload OUT 0 15
1307_missing_Subcircuit.net,Subcircuit,XU1 N003 N004 IN 0 N001 IN N005 N006 LT1307
1307B_missing_Resistor.net,Resistor,R2 N004 0 324K
1308A_missing_Inductor.net,Inductor,L1 IN N001 10µ
1308B_missing_Resistor.net,Resistor,R1 OUT N004 1Meg
1309_missing_Capacitor.net,Capacitor,C1 N004 0 0.1µ
1310_missing_Resistor.net,Resistor,R4 N005 N004 15K
1316_missing_Resistor.net,Resistor,Rload OUT 0 100
1317_missing_Inductor.net,Inductor,L1 IN N001 10µ Rser=0.02 Rpar=5000
1317B_missing_Capacitor.net,Capacitor,C1 OUT 0 33µ Rser=0.02
1328_missing_Subcircuit.net,Subcircuit,XU1 N001 N003 N004 0 N005 +V 0 N002 LT1328
1336_missing_Capacitor.net,Capacitor,C1 0 N004 10µ
1339_missing_Capacitor.net,Capacitor,C5 N010 0 2200p
1351_missing_Resistor.net,Resistor,R6 N003 N002 5.49K
1352_missing_Resistor.net,Resistor,R2 OUT N003 5.49K
1353_missing_Capacitor.net,Capacitor,C2 N001 0 2200p
1354_missing_Resistor.net,Resistor,R2 OUT N003 5.23K
1355_missing_Subcircuit.net,Subcircuit,XU1 0 N004 +V -V N002 LT1354
1356_missing_Resistor.net,Resistor,R5 N005 N003 10.2K
1357_missing_VoltageSource.net,VoltageSource,V1 +V 0 5
1358_missing_Resistor.net,Resistor,R3 N004 N001 5.62K
1359_missing_Resistor.net,Resistor,R4 N001 IN 3.4K
1360_missing_Capacitor.net,Capacitor,C4 N003 0 470p
1361_missing_Subcircuit.net,Subcircuit,XU1 0 N004 +V -V N002 LT1360
1362_missing_VoltageSource.net,VoltageSource,V3 IN 0 AC 1
1363_missing_VoltageSource.net,VoltageSource,V1 +V 0 5
1364_missing_Resistor.net,Resistor,R2 OUT N003 549
1365_missing_VoltageSource.net,VoltageSource,V1 +V 0 5
1366_missing_VoltageSource.net,VoltageSource,V1 +V 0 5
1367_missing_VoltageSource.net,VoltageSource,V2 IN 0 1.65 AC 1
1368_missing_CurrentSource.net,CurrentSource,I1 N003 0 SINE(.2 .1 1K)
1369_missing_Resistor.net,Resistor,R2 +V N003 .1
1370_missing_Inductor.net,Inductor,L1 IN N001 6.8µ Rser=0.072
