file,ground_truth,removed_line
151_missing_MOSFET.net,MOSFET,M1 2 4 0 0 NMOS W=1u L=1u
152_missing_MOSFET.net,MOSFET,M1 2 1 0 0 NMOS W=1u L=1u
153_missing_MOSFET.net,MOSFET,M1 1 4 0 0 NMOS W=1u L=1u
154_missing_MOSFET.net,MOSFET,M1 3 2 6 6 NMOS W=1u L=1u
156_missing_MOSFET.net,MOSFET,M3 3 1 VDD VDD PMOS W=1u L=1u
157_missing_MOSFET.net,MOSFET,M1 3 1 6 6 NMOS W=1u L=1u
158_missing_MOSFET.net,MOSFET,M2 3 2 0 0 NMOS W=1u L=1u
159_missing_MOSFET.net,MOSFET,M1 2 1 0 0 NMOS W=1u L=1u
16_missing_VoltageSource.net,VoltageSource,V1 2 0 5V
160_missing_MOSFET.net,MOSFET,M1 1 2 VDD VDD PMOS W=1u L=1u
161_missing_MOSFET.net,MOSFET,M1 3 1 2 2 NMOS W=1u L=1u
162_missing_VoltageSource.net,VoltageSource,V1 3 0 5V
163_missing_VoltageSource.net,VoltageSource,V1 4 0 5V
164_missing_MOSFET.net,MOSFET,M1 6 1 3 3 NMOS W=1u L=1u
165_missing_VoltageSource.net,VoltageSource,V1 1 0 5V
166_missing_VoltageSource.net,VoltageSource,V1 3 0 5V
167_missing_MOSFET.net,MOSFET,M2 2 2 VDD VDD PMOS W=1u L=1u
168_missing_Resistor.net,Resistor,R1 1 VDD 1k
169_missing_MOSFET.net,MOSFET,M1 1 2 3 3 NMOS W=1u L=1u
17_missing_MOSFET.net,MOSFET,M1 2 1 3 3 NMOS W=1u L=1u
170_missing_MOSFET.net,MOSFET,M1 VDD 1 2 2 NMOS W=1u L=1u
171_missing_Resistor.net,Resistor,R1 2 1 1k
172_missing_Resistor.net,Resistor,R1 0 2 1k
173_missing_MOSFET.net,MOSFET,M1 1 4 6 6 NMOS W=1u L=1u
174_missing_MOSFET.net,MOSFET,M3 1 1 VDD VDD PMOS W=1u L=1u
175_missing_MOSFET.net,MOSFET,M3 2 2 VDD VDD PMOS W=1u L=1u
176_missing_MOSFET.net,MOSFET,M1 3 5 6 6 NMOS W=1u L=1u
177_missing_MOSFET.net,MOSFET,M2 3 2 0 0 NMOS W=1u L=1u
178_missing_MOSFET.net,MOSFET,M1 3 1 2 2 NMOS W=1u L=1u
179_missing_MOSFET.net,MOSFET,M3 6 2 VDD VDD NMOS W=1u L=1u
18_missing_MOSFET.net,MOSFET,M1 3 1 2 2 NMOS W=1u L=1u
180_missing_MOSFET.net,MOSFET,M3 2 3 VDD VDD NMOS W=1u L=1u
181_missing_Capacitor.net,Capacitor,C1 3 VDD 1nF
182_missing_MOSFET.net,MOSFET,M2 3 2 0 0 NMOS W=1u L=1u
183_missing_Capacitor.net,Capacitor,C1 3 4 1nF
184_missing_Resistor.net,Resistor,R1 1 VDD 1k
185_missing_MOSFET.net,MOSFET,M2 6 2 4 4 NMOS W=1u L=1u
186_missing_MOSFET.net,MOSFET,M2 4 1 5 5 PMOS W=1u L=1u
187_missing_Resistor.net,Resistor,R1 1 VDD 1k
188_missing_Resistor.net,Resistor,R2 2 VDD 1k
189_missing_CurrentSource.net,CurrentSource,I1 1 0 DC 1mA
19_missing_MOSFET.net,MOSFET,M1 2 4 1 1 NMOS W=1u L=1u
190_missing_MOSFET.net,MOSFET,M2 4 3 1 1 NMOS W=1u L=1u
191_missing_Resistor.net,Resistor,R3 0 1 1k
192_missing_Resistor.net,Resistor,R1 6 VDD 1k
193_missing_MOSFET.net,MOSFET,M2 3 7 2 2 NMOS W=1u L=1u
194_missing_MOSFET.net,MOSFET,M1 6 3 1 1 NMOS W=1u L=1u
195_missing_CurrentSource.net,CurrentSource,I1 2 0 DC 1mA
196_missing_CurrentSource.net,CurrentSource,I1 1 0 DC 1mA
197_missing_Resistor.net,Resistor,R2 2 VDD 1k
198_missing_Resistor.net,Resistor,R1 0 4 1k
199_missing_Resistor.net,Resistor,R2 1 VDD 1k
2_missing_MOSFET.net,MOSFET,M1 0 1 0 0 NMOS W=1u L=1u
20_missing_Resistor.net,Resistor,R2 9 5 1k
200_missing_MOSFET.net,MOSFET,M1 1 0 3 3 NMOS W=1u L=1u
201_missing_Resistor.net,Resistor,R2 3 VDD 1k
202_missing_VoltageSource.net,VoltageSource,V1 8 0 5V
203_missing_MOSFET.net,MOSFET,M2 2 6 1 1 NMOS W=1u L=1u
204_missing_MOSFET.net,MOSFET,M2 1 5 0 0 NMOS W=1u L=1u
205_missing_VoltageSource.net,VoltageSource,V2 7 0 5V
206_missing_VoltageSource.net,VoltageSource,V2 9 0 5V
207_missing_Resistor.net,Resistor,R4 6 VDD 1k
208_missing_VoltageSource.net,VoltageSource,V2 2 0 5V
209_missing_CurrentSource.net,CurrentSource,I2 1 0 DC 1mA
21_missing_Capacitor.net,Capacitor,C2 9 3 1nF
210_missing_MOSFET.net,MOSFET,M2 3 1 2 2 NMOS W=1u L=1u
211_missing_Resistor.net,Resistor,R1 1 VDD 1k
212_missing_Resistor.net,Resistor,R2 1 VDD 1k
213_missing_Resistor.net,Resistor,R1 2 VDD 1k
214_missing_Resistor.net,Resistor,R1 4 VDD 1k
215_missing_Resistor.net,Resistor,R3 0 2 1k
216_missing_Resistor.net,Resistor,R1 2 VDD 1k
217_missing_Resistor.net,Resistor,R2 1 VDD 1k
218_missing_Resistor.net,Resistor,R1 3 VDD 1k
219_missing_Resistor.net,Resistor,R2 2 VDD 1k
22_missing_MOSFET.net,MOSFET,M1 VDD VDD 1 1 NMOS W=1u L=1u
220_missing_CurrentSource.net,CurrentSource,I1 1 0 DC 1mA
221_missing_MOSFET.net,MOSFET,M3 4 1 VDD 10 10 PMOS W=1u L=1u
222_missing_Resistor.net,Resistor,R2 1 4 1k
223_missing_MOSFET.net,MOSFET,M1 1 4 0 0 NMOS W=1u L=1u
224_missing_CurrentSource.net,CurrentSource,I1 3 0 DC 1mA
225_missing_Resistor.net,Resistor,R1 4 VDD 1k
226_missing_MOSFET.net,MOSFET,M8 5 4 18 18 PMOS W=1u L=1u
228_missing_MOSFET.net,MOSFET,M1 3 7 1 1 NMOS W=1u L=1u
229_missing_Resistor.net,Resistor,R1 2 VDD 1k
23_missing_Capacitor.net,Capacitor,C1 0 1 1nF
230_missing_MOSFET.net,MOSFET,M2 3 6 1 1 NMOS W=1u L=1u
231_missing_Resistor.net,Resistor,R2 6 VDD 1k
232_missing_CurrentSource.net,CurrentSource,I1 3 0 DC 1mA
233_missing_MOSFET.net,MOSFET,M3 6 11 5 5 NMOS W=1u L=1u
234_missing_MOSFET.net,MOSFET,M3 6 11 5 5 NMOS W=1u L=1u
235_missing_MOSFET.net,MOSFET,M3 2 7 12 12 NMOS W=1u L=1u
236_missing_MOSFET.net,MOSFET,M3 13 9 1 1 NMOS W=1u L=1u
237_missing_MOSFET.net,MOSFET,M2 1 10 3 3 NMOS W=1u L=1u
238_missing_MOSFET.net,MOSFET,M5 4 2 12 12 PMOS W=1u L=1u
239_missing_MOSFET.net,MOSFET,M1 4 9 1 1 NMOS W=1u L=1u
24_missing_VoltageSource.net,VoltageSource,V1 3 0 5V
240_missing_MOSFET.net,MOSFET,M1 5 10 3 3 NMOS W=1u L=1u
241_missing_MOSFET.net,MOSFET,M3 1 2 0 0 NMOS W=1u L=1u
242_missing_MOSFET.net,MOSFET,M3 2 1 0 0 NMOS W=1u L=1u
243_missing_Resistor.net,Resistor,R1 6 VDD 1k
244_missing_MOSFET.net,MOSFET,M4 5 3 VDD VDD PMOS W=1u L=1u
245_missing_MOSFET.net,MOSFET,M3 2 3 0 0 NMOS W=1u L=1u
246_missing_Resistor.net,Resistor,R1 7 6 1k
247_missing_Resistor.net,Resistor,R2 2 VDD 1k
248_missing_MOSFET.net,MOSFET,M1 4 8 1 1 NMOS W=1u L=1u
249_missing_MOSFET.net,MOSFET,M1 4 3 7 14 14 NMOS W=1u L=1u
25_missing_MOSFET.net,MOSFET,M1 4 1 5 5 NMOS W=1u L=1u
250_missing_MOSFET.net,MOSFET,M5 4 2 VDD VDD PMOS W=1u L=1u
251_missing_CurrentSource.net,CurrentSource,I2 1 0 DC 1mA
252_missing_MOSFET.net,MOSFET,M1 1 4 0 0 NMOS W=1u L=1u
253_missing_MOSFET.net,MOSFET,M2 1 3 VDD VDD NMOS W=1u L=1u
254_missing_MOSFET.net,MOSFET,M4 5 1 VDD VDD PMOS W=1u L=1u
255_missing_MOSFET.net,MOSFET,M6 3 3 VDD VDD NMOS W=1u L=1u
256_missing_MOSFET.net,MOSFET,M1 1 4 0 0 NMOS W=1u L=1u
257_missing_MOSFET.net,MOSFET,M3 VDD 3 6 6 NMOS W=1u L=1u
258_missing_MOSFET.net,MOSFET,M2 2 1 6 6 NMOS W=1u L=1u
259_missing_MOSFET.net,MOSFET,M4 7 3 0 0 NMOS W=1u L=1u
26_missing_VoltageSource.net,VoltageSource,V1 4 0 5V
260_missing_VoltageSource.net,VoltageSource,V1 7 0 5V
261_missing_Resistor.net,Resistor,R1 3 1 1k
262_missing_Resistor.net,Resistor,R1 1 3 1k
263_missing_MOSFET.net,MOSFET,M1 2 1 3 3 NMOS W=1u L=1u
264_missing_MOSFET.net,MOSFET,M3 3 1 5 5 NMOS W=1u L=1u
265_missing_MOSFET.net,MOSFET,M1 3 4 6 6 NMOS W=1u L=1u
266_missing_CurrentSource.net,CurrentSource,I1 VDD 1 DC 1mA
267_missing_VoltageSource.net,VoltageSource,V1 2 0 5V
268_missing_MOSFET.net,MOSFET,M3 1 1 VDD VDD NMOS W=1u L=1u
269_missing_MOSFET.net,MOSFET,M4 4 3 VDD VDD PMOS W=1u L=1u
27_missing_VoltageSource.net,VoltageSource,V1 5 0 5V
270_missing_CurrentSource.net,CurrentSource,I2 2 0 DC 1mA
271_missing_Resistor.net,Resistor,R2 3 1 1k
272_missing_CurrentSource.net,CurrentSource,I1 2 0 DC 1mA
273_missing_Resistor.net,Resistor,R2 1 VDD 1k
274_missing_MOSFET.net,MOSFET,M4 4 1 VDD VDD PMOS W=1u L=1u
275_missing_MOSFET.net,MOSFET,M2 1 7 2 2 NMOS W=1u L=1u
276_missing_MOSFET.net,MOSFET,M3 3 1 0 0 NMOS W=1u L=1u
277_missing_MOSFET.net,MOSFET,M2 2 8 3 3 NMOS W=1u L=1u
278_missing_MOSFET.net,MOSFET,M5 5 2 VDD VDD PMOS W=1u L=1u
279_missing_MOSFET.net,MOSFET,M2 1 8 2 2 NMOS W=1u L=1u
28_missing_VoltageSource.net,VoltageSource,V2 5 0 5V
280_missing_MOSFET.net,MOSFET,M4 1 2 VDD VDD PMOS W=1u L=1u
281_missing_CurrentSource.net,CurrentSource,I1 2 0 DC 1mA
282_missing_MOSFET.net,MOSFET,M1 3 4 0 0 NMOS W=1u L=1u
283_missing_MOSFET.net,MOSFET,M1 3 0 5 5 NMOS W=1u L=1u
284_missing_Resistor.net,Resistor,R1 2 0 1k
285_missing_MOSFET.net,MOSFET,M2 2 1 VDD VDD PMOS W=1u L=1u
286_missing_MOSFET.net,MOSFET,M4 5 3 VDD VDD PMOS W=1u L=1u
287_missing_Resistor.net,Resistor,R1 0 3 1k
288_missing_MOSFET.net,MOSFET,M1 1 7 3 8 8 NMOS W=1u L=1u
289_missing_Resistor.net,Resistor,R2 3 1 1k
29_missing_VoltageSource.net,VoltageSource,V1 1 0 5V
290_missing_Resistor.net,Resistor,R1 0 2 1k
291_missing_MOSFET.net,MOSFET,M1 2 2 VDD VDD NMOS W=1u L=1u
292_missing_MOSFET.net,MOSFET,M3 1 1 VDD VDD NMOS W=1u L=1u
293_missing_MOSFET.net,MOSFET,M3 1 1 VDD VDD NMOS W=1u L=1u
294_missing_MOSFET.net,MOSFET,M1 3 5 4 4 NMOS W=1u L=1u
295_missing_MOSFET.net,MOSFET,M4 5 1 VDD VDD PMOS W=1u L=1u
296_missing_VoltageSource.net,VoltageSource,V1 2 0 5V
297_missing_VoltageSource.net,VoltageSource,V2 3 0 5V
298_missing_Resistor.net,Resistor,R1 3 VDD 1k
299_missing_Resistor.net,Resistor,R1 3 VDD 1k
3_missing_VoltageSource.net,VoltageSource,V1 2 0 5V
30_missing_MOSFET.net,MOSFET,M1 VDD 2 1 1 NMOS W=1u L=1u
300_missing_Capacitor.net,Capacitor,C1 6 1 1nF
301_missing_CurrentSource.net,CurrentSource,I1 VDD 3 DC 1mA
302_missing_MOSFET.net,MOSFET,M4 5 1 0 0 NMOS W=1u L=1u
303_missing_Resistor.net,Resistor,R1 1 VDD 1k
304_missing_MOSFET.net,MOSFET,M2 2 1 VDD VDD PMOS W=1u L=1u
305_missing_Capacitor.net,Capacitor,C1 8 1 1nF
306_missing_Resistor.net,Resistor,R2 9 3 1k
307_missing_Resistor.net,Resistor,R2 3 4 1k
308_missing_MOSFET.net,MOSFET,M1 2 1 0 0 NMOS W=1u L=1u
309_missing_MOSFET.net,MOSFET,M2 2 1 VDD VDD PMOS W=1u L=1u
31_missing_VoltageSource.net,VoltageSource,V1 2 0 5V
310_missing_MOSFET.net,MOSFET,M2 2 1 3 3 PMOS W=1u L=1u
311_missing_CurrentSource.net,CurrentSource,I1 VDD 3 DC 1mA
312_missing_VoltageSource.net,VoltageSource,V1 7 0 5V
313_missing_VoltageSource.net,VoltageSource,V1 8 0 5V
314_missing_Resistor.net,Resistor,R1 5 VDD 1k
315_missing_MOSFET.net,MOSFET,M2 VDD 5 1 1 NMOS W=1u L=1u
316_missing_MOSFET.net,MOSFET,M1 3 3 0 0 NMOS W=1u L=1u
317_missing_MOSFET.net,MOSFET,M1 VDD 2 3 3 NMOS W=1u L=1u
318_missing_MOSFET.net,MOSFET,M2 3 6 0 0 NMOS W=1u L=1u
319_missing_MOSFET.net,MOSFET,M1 3 6 2 2 NMOS W=1u L=1u
32_missing_MOSFET.net,MOSFET,M1 2 1 3 3 NMOS W=1u L=1u
320_missing_MOSFET.net,MOSFET,M2 5 8 4 4 NMOS W=1u L=1u
321_missing_MOSFET.net,MOSFET,M2 3 1 0 0 NMOS W=1u L=1u
322_missing_MOSFET.net,MOSFET,M1 1 1 0 0 NMOS W=1u L=1u
323_missing_MOSFET.net,MOSFET,M2 3 1 0 0 NMOS W=1u L=1u
324_missing_MOSFET.net,MOSFET,M2 3 1 0 0 NMOS W=1u L=1u
325_missing_Resistor.net,Resistor,R2 1 VDD 1k
326_missing_MOSFET.net,MOSFET,M3 2 1 VDD VDD NMOS W=1u L=1u
327_missing_MOSFET.net,MOSFET,M1 VDD 3 1 1 NMOS W=1u L=1u
328_missing_VoltageSource.net,VoltageSource,V1 5 0 5V
329_missing_Resistor.net,Resistor,R2 4 3 1k
33_missing_VoltageSource.net,VoltageSource,V1 1 0 5V
330_missing_Resistor.net,Resistor,R2 4 3 1k
331_missing_VoltageSource.net,VoltageSource,V1 2 0 5V
332_missing_MOSFET.net,MOSFET,M1 6 3 4 4 NMOS W=1u L=1u
333_missing_MOSFET.net,MOSFET,M1 4 4 0 0 NMOS W=1u L=1u
334_missing_Resistor.net,Resistor,R1 3 VDD 1k
335_missing_MOSFET.net,MOSFET,M1 5 5 0 0 NMOS W=1u L=1u
336_missing_MOSFET.net,MOSFET,M2 5 2 0 6 6 NMOS W=1u L=1u
337_missing_Resistor.net,Resistor,R1 4 VDD 1k
338_missing_Resistor.net,Resistor,R1 4 VDD 1k
339_missing_MOSFET.net,MOSFET,M1 1 1 0 0 NMOS W=1u L=1u
34_missing_VoltageSource.net,VoltageSource,V1 4 0 5V
340_missing_MOSFET.net,MOSFET,M2 4 2 0 0 NMOS W=1u L=1u
341_missing_Resistor.net,Resistor,R1 1 VDD 1k
342_missing_MOSFET.net,MOSFET,M3 5 2 4 4 NMOS W=1u L=1u
343_missing_Resistor.net,Resistor,R1 6 VDD 1k
344_missing_Capacitor.net,Capacitor,C1 3 4 1nF
345_missing_MOSFET.net,MOSFET,M2 4 1 VDD VDD NMOS W=1u L=1u
346_missing_MOSFET.net,MOSFET,M1 1 5 0 6 6 NMOS W=1u L=1u
347_missing_MOSFET.net,MOSFET,M1 1 2 0 0 NMOS W=1u L=1u
348_missing_MOSFET.net,MOSFET,M1 6 8 2 2 NMOS W=1u L=1u
349_missing_MOSFET.net,MOSFET,M3 1 1 VDD VDD NMOS W=1u L=1u
35_missing_VoltageSource.net,VoltageSource,V1 4 0 5V
350_missing_MOSFET.net,MOSFET,M3 3 4 0 0 NMOS W=1u L=1u
351_missing_MOSFET.net,MOSFET,M2 7 1 5 5 NMOS W=1u L=1u
352_missing_CurrentSource.net,CurrentSource,I1 2 0 DC 1mA
353_missing_MOSFET.net,MOSFET,M3 3 3 VDD VDD NMOS W=1u L=1u
354_missing_CurrentSource.net,CurrentSource,I1 2 0 DC 1mA
355_missing_MOSFET.net,MOSFET,M1 1 6 2 2 NMOS W=1u L=1u
356_missing_Resistor.net,Resistor,R1 5 2 1k
357_missing_Resistor.net,Resistor,R1 3 2 1k
358_missing_MOSFET.net,MOSFET,M1 2 1 3 3 NMOS W=1u L=1u
359_missing_Resistor.net,Resistor,R2 2 4 1k
36_missing_VoltageSource.net,VoltageSource,V1 4 0 5V
360_missing_Resistor.net,Resistor,R2 5 3 1k
361_missing_Resistor.net,Resistor,R2 5 2 1k
362_missing_MOSFET.net,MOSFET,M1 2 1 0 0 NMOS W=1u L=1u
363_missing_Capacitor.net,Capacitor,C2 0 3 1nF
364_missing_MOSFET.net,MOSFET,M1 3 2 0 0 NMOS W=1u L=1u
365_missing_Resistor.net,Resistor,R1 1 VDD 1k
366_missing_MOSFET.net,MOSFET,M1 2 1 0 0 NMOS W=1u L=1u
367_missing_Resistor.net,Resistor,R1 2 VDD 1k
368_missing_CurrentSource.net,CurrentSource,I1 1 0 DC 1mA
369_missing_MOSFET.net,MOSFET,M1 VDD 1 2 2 NMOS W=1u L=1u
37_missing_MOSFET.net,MOSFET,M1 2 1 4 4 PMOS W=1u L=1u
370_missing_Capacitor.net,Capacitor,C1 1 2 1nF
371_missing_VoltageSource.net,VoltageSource,V1 1 0 5V
372_missing_Capacitor.net,Capacitor,C1 2 1 1nF
373_missing_Capacitor.net,Capacitor,C2 3 4 1nF
374_missing_VoltageSource.net,VoltageSource,V1 5 0 5V
375_missing_Resistor.net,Resistor,R2 1 2 1k
376_missing_MOSFET.net,MOSFET,M1 VDD 1 2 2 NMOS W=1u L=1u
377_missing_Capacitor.net,Capacitor,C2 0 1 1nF
38_missing_MOSFET.net,MOSFET,M1 VDD VDD 2 2 NMOS W=1u L=1u
383_missing_Capacitor.net,Capacitor,C1 0 2 1nF
384_missing_Resistor.net,Resistor,R2 3 VDD 1k
385_missing_MOSFET.net,MOSFET,M1 3 2 0 0 NMOS W=1u L=1u
386_missing_Resistor.net,Resistor,R2 1 VDD 1k
387_missing_Capacitor.net,Capacitor,C2 2 0 1nF
388_missing_MOSFET.net,MOSFET,M1 1 4 0 0 NMOS W=1u L=1u
389_missing_MOSFET.net,MOSFET,M4 2 1 VDD VDD PMOS W=1u L=1u
39_missing_VoltageSource.net,VoltageSource,V1 5 0 5V
393_missing_MOSFET.net,MOSFET,M1 3 3 VDD 6 6 NMOS W=1u L=1u
394_missing_Resistor.net,Resistor,R3 6 7 1k
395_missing_Resistor.net,Resistor,R1 3 VDD 1k
396_missing_MOSFET.net,MOSFET,M1 3 5 0 0 NMOS W=1u L=1u
397_missing_MOSFET.net,MOSFET,M1 2 7 0 0 NMOS W=1u L=1u
398_missing_VoltageSource.net,VoltageSource,V1 4 0 5V
4_missing_VoltageSource.net,VoltageSource,V1 3 0 5V
40_missing_Resistor.net,Resistor,R1 0 2 1k
401_missing_MOSFET.net,MOSFET,M1 1 2 0 0 NMOS W=1u L=1u
402_missing_Capacitor.net,Capacitor,C1 2 1 1nF
403_missing_Capacitor.net,Capacitor,C1 0 1 1nF
404_missing_Resistor.net,Resistor,R2 0 2 1k
405_missing_Resistor.net,Resistor,R2 7 2 1k
406_missing_MOSFET.net,MOSFET,M1 2 1 0 0 NMOS W=1u L=1u
407_missing_MOSFET.net,MOSFET,M1 2 1 0 0 NMOS W=1u L=1u
408_missing_MOSFET.net,MOSFET,M1 2 1 3 3 NMOS W=1u L=1u
409_missing_MOSFET.net,MOSFET,M2 2 1 0 0 NMOS W=1u L=1u
41_missing_MOSFET.net,MOSFET,M1 2 1 0 0 NMOS W=1u L=1u
410_missing_CurrentSource.net,CurrentSource,I1 VDD 3 DC 1mA
411_missing_MOSFET.net,MOSFET,M2 1 2 0 0 NMOS W=1u L=1u
412_missing_CurrentSource.net,CurrentSource,I2 1 0 DC 1mA
413_missing_CurrentSource.net,CurrentSource,I2 1 0 DC 1mA
414_missing_CurrentSource.net,CurrentSource,I2 2 0 DC 1mA
415_missing_CurrentSource.net,CurrentSource,I2 2 0 DC 1mA
416_missing_CurrentSource.net,CurrentSource,I2 1 0 DC 1mA
417_missing_Capacitor.net,Capacitor,C1 4 1 1nF
418_missing_MOSFET.net,MOSFET,M3 4 1 VDD VDD PMOS W=1u L=1u
419_missing_Resistor.net,Resistor,R1 3 2 1k
42_missing_Capacitor.net,Capacitor,C1 0 1 1nF
420_missing_Capacitor.net,Capacitor,C1 1 2 1nF
421_missing_MOSFET.net,MOSFET,M1 1 8 3 3 NMOS W=1u L=1u
422_missing_MOSFET.net,MOSFET,M1 8 1 10 17 17 NMOS W=1u L=1u
423_missing_Capacitor.net,Capacitor,C1 0 2 1nF
424_missing_Capacitor.net,Capacitor,C1 0 1 1nF
425_missing_Capacitor.net,Capacitor,C1 0 1 1nF
426_missing_Capacitor.net,Capacitor,C1 5 VDD 1nF
427_missing_Resistor.net,Resistor,R1 2 1 1k
428_missing_VoltageSource.net,VoltageSource,V1 5 2 5V
429_missing_Resistor.net,Resistor,R1 5 1 1k
43_missing_MOSFET.net,MOSFET,M1 VDD 1 2 2 NMOS W=1u L=1u
430_missing_CurrentSource.net,CurrentSource,I1 1 2 DC 1mA
431_missing_Resistor.net,Resistor,R1 1 2 1k
432_missing_Resistor.net,Resistor,R2 4 1 1k
433_missing_CurrentSource.net,CurrentSource,I1 1 2 DC 1mA
434_missing_CurrentSource.net,CurrentSource,I1 VDD 2 DC 1mA
437_missing_MOSFET.net,MOSFET,M1 1 3 0 0 NMOS W=1u L=1u
438_missing_MOSFET.net,MOSFET,M1 1 0 0 0 NMOS W=1u L=1u
439_missing_MOSFET.net,MOSFET,M1 1 3 0 0 NMOS W=1u L=1u
44_missing_MOSFET.net,MOSFET,M1 1 2 4 4 NMOS W=1u L=1u
444_missing_Capacitor.net,Capacitor,C1 0 2 1nF
445_missing_CurrentSource.net,CurrentSource,I1 VDD 1 DC 1mA
446_missing_CurrentSource.net,CurrentSource,I1 2 0 DC 1mA
447_missing_MOSFET.net,MOSFET,M1 1 2 0 0 NMOS W=1u L=1u
449_missing_Resistor.net,Resistor,R1 2 1 1k
45_missing_CurrentSource.net,CurrentSource,I1 3 0 DC 1mA
450_missing_MOSFET.net,MOSFET,M1 1 5 3 3 NMOS W=1u L=1u
451_missing_MOSFET.net,MOSFET,M1 1 3 0 0 NMOS W=1u L=1u
452_missing_CurrentSource.net,CurrentSource,I1 1 2 DC 1mA
453_missing_MOSFET.net,MOSFET,M1 0 0 0 0 NMOS W=1u L=1u
454_missing_CurrentSource.net,CurrentSource,I1 1 2 DC 1mA
455_missing_VoltageSource.net,VoltageSource,V1 6 0 5V
456_missing_MOSFET.net,MOSFET,M1 0 0 0 0 NMOS W=1u L=1u
457_missing_VoltageSource.net,VoltageSource,V1 10 0 5V
